src_idx,tgt_idx,weight
26,50,2655.5994899999996
57,34,8768.430540000001
30,50,2752.4745399999997
34,57,9478.795719999995
26,12,669.30076
50,30,5053.55047
45,13,12956.92085
66,13,2195.312420000001
26,49,1564.1197699999998
6,40,1165.0814799999996
13,13,314445.0864059991
58,57,4458.628889999996
34,70,422.34655
40,45,5.17875
38,42,155.29892
26,71,3075.968089999998
57,58,4030.6324400000017
63,50,29384.50275999996
13,45,2333.6853
42,38,124.7342
74,25,193.45622
13,66,761.6684699999997
59,13,201.34056999999999
7,13,6504.248470000001
50,63,31473.742689999974
13,14,15.88048
14,13,389.92981
48,50,42.7203
20,74,576.98514
40,13,3881.1348
63,74,290.9198
25,74,176.5277
26,63,429.52351
63,26,866.45363
7,66,110.0976
74,20,842.9009400000004
50,48,47.9074
67,71,313.60609999999997
30,73,1317.7398500000002
13,7,603.9343
14,46,285.57927
7,40,1759.2472699999998
20,7,1109.9885500000003
74,63,140.0368
73,30,1036.88048
46,46,104298.82627900009
66,46,643.9606799999999
40,7,610.30376
40,46,2885.1176600000003
66,7,78.0219
7,46,719.00395
74,30,33.786
20,46,1383.4505200000003
13,59,60.550430000000006
57,50,298.04650999999996
20,63,133.7819
6,13,1479.7685900000006
30,74,248.1464
46,20,88.92488999999999
46,7,208.0754
50,57,138.11877
63,14,379.18036
57,30,2797.5934800000014
43,39,12.4159
14,63,117.91650000000001
42,39,1246.86366
30,57,2457.7118800000007
9,74,45.9058
46,40,830.4301500000001
39,42,130.83626
40,50,4967.1945399999995
30,25,41.998
53,46,6633.9307100000005
4,50,656.59157
46,66,555.1367599999999
71,13,334.18247
46,14,72.84411
74,13,3390.921729999999
46,6,528.9689300000001
13,71,230.82805999999997
6,46,2259.7778200000002
63,47,1324.70262
13,46,3963.8345799999993
71,67,54.31343
13,74,1725.038189999999
50,40,1383.4197199999999
71,7,213.60842
46,53,2484.3155599999996
6,53,480.85754
40,6,331.45529999999997
26,74,315.06153000000006
53,6,86.8779
7,71,127.23531000000001
13,40,1426.1415099999995
74,26,188.6353
71,57,583.6531000000001
57,71,678.0946
46,13,3801.966229999999
53,63,4580.265570000001
7,20,540.53957
3,12,84.18804999999999
12,3,818.6384399999998
63,53,737.95654
71,3,402.49408999999997
3,74,1301.7251500000002
49,71,389.4773
74,3,2383.4966999999992
3,71,335.85474
30,49,3964.332119999998
58,72,1911.4180600000004
49,47,4804.4175900000055
7,3,545.8549600000001
53,50,110.4932
47,49,2025.3788799999993
67,50,70.1628
3,7,350.78688999999997
13,6,230.84969999999996
71,49,148.9093
49,50,978.7141999999999
63,71,9173.372199999989
74,40,1796.5799100000004
50,49,1996.36404
72,58,247.59586000000002
30,58,555.44925
49,30,631.8331100000001
12,30,26.2161
74,58,53.8419
40,74,682.4947299999999
71,63,3987.006429999997
58,30,244.06584999999995
73,58,38.4111
67,63,177.2668
50,53,42.4963
58,73,119.80003
49,74,156.27781000000002
58,47,89.21062
3,13,1375.013029999999
13,3,1314.03016
49,58,84.5273
63,67,54.4857
47,58,82.8152
74,49,122.43719999999999
58,49,51.5103
47,73,2977.764430000001
73,47,634.08934
